texto,secao,url,autor,data,subtitulo,titulo
"O estudo avaliou a situação da saúde no país de Nicolás Maduro, que sofre com uma crise política e humanitária. A equipe fez 156 entrevistas no período de 12 meses ouvindo médicos que atuam na Venezuela e cidadãos que cruzaram a fronteira do Brasil ou da Colômbia.
Desde 2017 não existe uma comunicação oficial do governo venezuelano sobre os dados da saúde do país. Para chegar aos números foram utilizadas pesquisas de órgãos internacionais que defendem os direitos humanos e as entrevistas realizadas pela equipe. Os médicos consultados também enviaram documentos.  
A conclusão não foi animadora: o estudo se deparou com um sistema de saúde em colapso total, aumentando os níveis de mortalidade materna e infantil; a propagação de doenças evitáveis ​​por vacinação, como o sarampo e a difteria; e o aumento no número de doenças infecciosas, como malária e tuberculose.
“Embora o governo tenha parado de publicar dados oficiais sobre nutrição em 2007, pesquisas realizadas por organizações e universidades venezuelanas documentam altos níveis de insegurança alimentar e desnutrição infantil, e dados disponíveis mostram altas admissões hospitalares de crianças desnutridas”, diz o relatório.  Sobre a mortalidade infantil foram utilizados dados da Unicef que mostram uma quase duplicação das taxas nos últimos cinco anos. De 14,6 mortes por 1.000 nascidos vivos em 2012 para 25,7 mortes por 1.000 nascidos vivos em 2017. Em um dos hospitais do país, a situação é ainda pior: de 2016 a 2018, as mortes neonatais aumentaram 54% e o número de mortes infantis dobrou.
A ajuda humanitária internacional à Venezuela teve crescimento em 2018, após uma mudança no discurso do governo de negar totalmente a crise humana e econômica. Maduro, entretanto, sustentou (e sustenta) que a escassez tem a ver com as sanções impostas pelos EUA. Organizações internacionais e não-governamentais têm relatado consistentemente que a ajuda à Venezuela não é suficiente para cobrir as necessidades urgentes da população.
Tamara Taraciuk é venezuelana radicada na Argentina e foi uma das responsáveis pelo estudo. Ela conta que a conclusão do relatório é de que a crise venezuelana é consequência de uma má gestão. “O governo de Nícolas Maduro esconde os dados para maquiar a magnitude da crise. Mais de 7 milhões de pessoas precisam de ajuda humanitária na Venezuela, precisamos agir”, disse.  
Segundo Tamara, o secretário-geral da ONU, António Guterres, deve liderar esforços para desenvolver um plano abrangente de resposta humanitária, dentro e fora do país. “Nada deve ser feito diretamente ao Estado. Toda a ajuda deve ser direcionada à ONU. Os países precisam agir, mas sem envolver a política”, pontua.
“A combinação de escassez de medicamentos e de alimentos, juntamente com a disseminação de doenças nas fronteiras da Venezuela, equivale a uma emergência humanitária complexa que requer uma resposta completa”, conclui Tamara.
Assista ao vídeo sobre a campanha:

",Mundo,https://www.cartacapital.com.br/mundo/mortalidade-infantil-cresce-75-em-5-anos-na-venezuela/,Alexandre Putti,04/04/2019 03:30:11,O país comandado por Maduro é o único da América do Sul que retornou a níveis observados nos anos 90,Mortalidade infantil cresce 75% em 5 anos na Venezuela
"A OAB havia pedido ao Supremo que adiasse a votação, pois a nova diretoria tomou posse recentemente e ainda precisa se inteirar “de todos os aspectos” envolvidos no caso.  O STF acatou o pedido e tirou da pauta da semana a discussão das ADCs 43, 44 e 54, que estão sob relatoria do ministro Marco Aurélio Mello. Além do processo da OAB, a corte julgará conjuntamente outras duas ações apresentadas pelo PCdoB e pelo Patriota. Todas elas tratam sobre o mesmo assunto.
Desde 2016, o Supremo entende que a prisão após segunda instância é possível. Aqueles condenados por tribunais de segundo grau, como os Tribunais Regionais Federais, podem ser presos. Foi baseado nessa decisão que o ex-juiz Sérgio Moro decretou a prisão do ex-presidente Lula.  As ações que pedem para derrubar esse entendimento utilizam como argumento o artigo 283 do Código de Processo Penal, que estabelece que as prisões só podem ocorrer após o trânsito em julgado, ou seja, quando não couber mais recursos no processo.
O ministro não anunciou quando será retomada essa discussão.
",Justiça,https://www.cartacapital.com.br/justica/julgamento-de-prisao-em-2a-instancia-e-adiado-por-dias-toffoli/,Alexandre Putti,04/04/2019 13:43:52,O presidente do STF escora-se em pedido da OAB para mais uma vez protelar a análise do caso no plenário do tribunal,Dias Toffoli adia julgamento de prisão em segunda instância
"A denúncia havia sido oferecida há dois dias pelo Ministério Público Federal em São Paulo e está no bojo da Operação Descontaminação, que investiga desvios na Eletronuclear — e motivou a     De acordo com os procuradores, o apartamento de Maristela teve uma reforma de 1,6 milhão paga com dinheiro de propina da Engevix, por intermédio do Coronel Lima e de Maria Rita. A empresa teria se beneficiado de contratos com Angra III, em obras há 35 anos.
A Lava Jato afirma que as obras ocorreram entre 2013 e 2014 e foram bancadas com dinheiro de corrupção e desvios que teriam ocorrido entre 2012 e 2016. O caso tramitava no Supremo Tribunal Federal (STF) e foi remetido para São Paulo em janeiro, depois que Temer perdeu o foro especial ao deixar a Presidência.    É a terceira vez que Temer ganha um passe para o banco dos réus desde que foi preso. Há dois dias, o juiz Marcelo Bretas acatou duas denúncias do MPF do Rio de Janeiro contra o ex-presidente por corrupção, lavagem de dinheiro e peculato no caso da Eletronuclear.
No dia 28, a justiça de Brasília o tornou réu por corrupção passiva no caso da  A denúncia existe desde 2017, mas só se tornou ação penal depois que ele perdeu o foro especial.
",Política,https://www.cartacapital.com.br/politica/lavagem-de-dinheiro-por-apartamento-torna-temer-reu-pela-terceira-vez/,Thais Reis Oliveira,04/04/2019 20:34:55,"Filha do ex-presidente, o coronel Lima e a esposa dele, Maria Rita Fratezi, também serão processados",Lavagem de dinheiro por apartamento torna Temer réu pela terceira vez
"O documento intitulado , demonstra que o aumento da pobreza nesse período foi de 3%, ou seja, um número adicional de 7,3 milhões de brasileiros passou a viver com até 5,50 dólares por dia.No ano de 2014, o total de brasileiros que viviam na pobreza era de 36,2 milhões (17,9%). O quadro negativo teve início com a forte recessão que o país atravessou a partir do segundo semestre daquele ano, que durou até o fim de 2016.  O  avalia que o fraco crescimento da América Latina e Caribe, especialmente na América do Sul, afetou os indicadores sociais no Brasil, país que possui um terço da população de toda a região.Mesmo assim, o Banco Mundial manteve as previsões de crescimento do Produto Interno Bruto (PIB) brasileiro, com altas de 2,2% em 2019 e 2,5% em 2020. As projeções são melhores do que as de outros países, como o México (1,7%), mas ficam abaixo de nações como a Colômbia (3,3%). Os países com previsão de queda no PIB são a Argentina (-1,3%) e a Venezuela (-25%).Para a região da América Latina e Caribe, o crescimento deve ser menor do que o do Brasil. As estimativas iniciais eram de 1,7%, mas, no mais recente relatório, elas despencaram para 0,9%, puxadas pelo péssimo desempenho da Venezuela. O crescimento da América do Sul também deverá sentir os efeitos da crise venezuelana, ficando em apenas 0,4%.  De raízes liberais, o relatório destaca as incertezas quanto à , afirmando que sua aprovação “depende da formação de coalizões”, uma vez que o partido governista não tem maioria no Congresso. A instituição elogia o Brasil por buscar um programa “ambicioso” de reformas, mas afirma que o país é o caso mais preocupante na região depois da Venezuela.O Brasil deverá ter um déficit fiscal de 6,9% do PIB em 2019 e um déficit primário de 1,2% do PIB. A dívida pública deve corresponder a 80% do PIB.“As perspectivas de crescimento para este ano não mostram uma melhora substancial em relação a 2018, como consequência do crescimento débil ou negativo nas três maiores economias da região – Brasil, México e Argentina – e do colapso total na Venezuela”, afirma o relatório. Se excluídos os números venezuelanos, o PIB da América do Sul teria alta de 1,8% em 2019.O relatório afirma que os programas sociais podem ser os mais eficazes amortecedores dos choques econômicos. Segundo o economista-chefe do Banco Mundial para a América Latina e Caribe, Carlos Végh, essas iniciativas são comuns em países desenvolvidos, mas não nessa região.“A região deve desenvolver, além dos programas estruturais existentes, ferramentas de rede de segurança social que possam apoiar os pobres e os mais vulneráveis durante o ciclo de baixa nos negócios”, afirma o relatório.O Banco Mundial afirma que a  e Caribe formam a região com os indicadores mais voláteis em todo o mundo por ser exposta a fatores externos (como preços das commodities e liquidez internacional) e instabilidades institucionais e políticas.O Banco Mundial analisou três indicadores: taxa de desemprego, pobreza e necessidades básicas insatisfeitas (habitação, educação e saneamento).",Sociedade,https://www.cartacapital.com.br/sociedade/pobreza-no-brasil-dispara-e-atinge-mais-de-43-milhoes-de-pessoas/,Deutsche Welle,05/04/2019 15:40:34,"Número de brasileiros que vivem na pobreza subiu 7,3 milhões desde 2014, atingindo 21% da população",Pobreza no Brasil dispara e atinge mais de 43 milhões de pessoas
"O telegrama foi revelado em primeira mão pela  e confirmado posteriormente por CartaCapital. Diz o texto que “não houve golpe militar” em 1964 no Brasil, e que a tomada do poder pelas Forças Armadas serviu para afastar ameaças de “uma tomada comunista”, além de “garantir a preservação das instituições nacionais, no contexto da Guerra Fria”.  O governo afirma ainda que “os anos 1960-70 foram um período de intensa mobilização de organizações terroristas de esquerda no Brasil e em toda a América Latina”, e que a derrubada de João Goulart foi apoiada pela “maioria dos brasileiros”.
Trata-se de uma resposta às  para Promoção da Verdade, Justiça, Reparação e Garantias de Não Repetição. Na sexta-feira 29, Savioli exigiu que Bolsonaro reconsiderasse seus planos de celebrar um regime que cometeu “crimes horrendos” é “imoral e inadmissível”.  O parecer de Savioli foi classificado como “sem fundamento”. O governo brasileiro pediu ainda que o relator “deve respeitar os processos nacionais e procedimentos internos em suas deliberações”.
Em sua defesa, o governo evocou defesa da liberdade de expressão e reforçou que a recomendação de Jair Bolsonaro para que os quartéis comemorassem a data “foi tomada com pleno respeito à lei nacional, incluindo a Constituição Federal”.  O apelo da autoridade da ONU ocorreu depois de uma . No pedido, as organizações alertam para uma “tentativa de modificar a narrativa sobre o golpe de 31 de março de 1964 no Brasil”, cuja principal atuação viria “através de instruções diretas do Gabinete da Presidência ao mais alto comando militar para transmitir uma mensagem positiva sobre o período, desconsiderando as atrocidades cometidas pelo respectivo regime.”
Também pegaram mal lá fora as declarações de Bolsonaro e do chanceler Ernesto Araújo sobre . Durante viagem a Israel, o presidente corroborou a tese de Araújo e afirmou categoricamente que o nazismo é de esquerda: afinal, o partido de Hitler tinha  no nome.
Representantes de partidos políticos da Alemanha comentaram o caso ao blog do jornalista Jamil Chade, do  e atacaram o presidente. A deputada Yasmin Fahimi, do Partido Social-Democrata, lembrou que “os nazistas também usaram o termo ‘social’ como uma máscara para seu real programa político” e disse que Bolsonaro, ao usar essas mesmas estratégias, faz “ridicularização inaceitável das vítimas que foram mortas pelos nazistas”. O PSD, vale lembrar, faz parte da coalizão que governa a Alemanha e tem papel importante nos assuntos internacionais do país.
",Política,https://www.cartacapital.com.br/politica/apos-denuncia-governo-diz-a-onu-que-nao-houve-golpe-militar-no-brasil/,Thais Reis Oliveira,04/04/2019 19:10:23,"Conforme o telegrama enviado à entidade, tomada do poder pelas Forças Armadas serviu para afastar uma ","Em carta, governo diz à ONU que não houve golpe militar no Brasil"
"“O PIB [Produto Interno Bruto] contraiu 17,7% em 2018, e é provável que ele encolha 25% em 2019”, afirmam os analistas do Banco Mundial no documento. Caso as projeções se confirmem, a queda acumulada desde 2013 será de 60%.  “Nada poderia preparar a região para a escalada da crise econômica, social e humanitária na Venezuela, de longe a pior crise na história moderna da América Latina”, diz o órgão.O Banco Mundial considera que as condições socioeconômicas da Venezuela pioram rapidamente devido à queda do preço do petróleo, além de um ajuste fiscal desordenado e uma má gestão da economia por parte do governo de Nicolás Maduro.A instituição critica ainda a monetização da dívida do setor público promovida pelo regime, uma medida que, segundo o banco, prejudicou muito a economia do país. “As políticas altamente distorcivas [de Maduro], um ajuste fiscal confuso, a monetização da dívida do setor público e a má gestão econômica em geral têm causado hiperinflação, desvalorização cambial e uma contração maciça no produto e no consumo”, diz o relatório.  A inflação chegou a 1.370.000% no fim do ano passado. Segundo a previsão do Banco Mundial, o índice deve fechar 2019 em 10.000.000%, confirmando uma estimativa apresentada pelo Fundo Monetário Internacional (FMI) em outubro.O relatório regional do Banco Mundial também inclui estimativas de fontes não oficiais, que indicam que 90% da população da Venezuela vive em condições de pobreza. A agência da ONU para os Refugiados e a Organização Internacional para as Migrações, mencionadas pelo Banco Mundial, preveem que 5 milhões de pessoas terão deixado o país até o fim de 2019.A Venezuela é governada por Maduro desde 2013, após a morte de Hugo Chávez. Desde janeiro, o chavista, cuja reeleição em 2018 é acusada de fraudulenta pela comunidade internacional, tem sua autoridade desafiada pelo líder oposicionista Juan Guaidó, reconhecido como presidente legítimo do país por mais de 50 nações.No documento divulgado nesta quinta-feira, o Banco Mundial diminui de 1,6% para 0,9% a previsão do crescimento econômico da região em 2019. A queda, segundo o relatório, se deve aos avanços “frágeis ou negativos” do PIB do Brasil, México e Argentina e ao “total colapso da Venezuela”. Se o país de Maduro não for levado em conta, a instituição prevê, no entanto, que a América Latina crescerá 1,9% em 2019 e 2,7% em 2020.A previsão de crescimento para o Brasil foi mantida em 2,2% em 2019. Já em 2020, o Banco Mundial estima um aumento de 2,5%.",Mundo,https://www.cartacapital.com.br/mundo/pib-da-venezuela-vai-encolher-25-em-2019-preve-banco-mundial/,Deutsche Welle,05/04/2019 17:40:45,Entidade afirma que o país vive a pior crise da história da América Latina e inflação deve chegar a 10 milhões por cento,"PIB da Venezuela vai encolher 25% em 2019, prevê Banco Mundial"
"Esses exemplos, segundo especialistas ouvidos pela , fazem parte de uma estratégia maior, de um movimento que busca legitimar os seus projetos políticos a partir de uma visão distorcida da historiografia acadêmica praticada por historiadores no Brasil e no mundo com base em métodos científicos.
Promovido pelo ideólogo  e seus seguidores, entre eles o chanceler Ernesto Araújo e o deputado federal Eduardo Bolsonaro, filho do presidente, esse negacionismo histórico é carregado de teorias de conspiração, imprecisões e omissões.
O negacionismo histórico foi se espalhando por páginas conservadoras nas redes sociais. E, aos poucos, foi se incorporando ao discurso bolsonarista. Em julho de 2018, isso ficou claro quando o então candidato a presidente Bolsonaro chocou os brasileiros ao culpar os africanos pelo tráfico negreiro.
“Se você for ver a história realmente, o português não pisava na África, era [sic] os próprios negros que entregavam os escravos”, disse Bolsonaro numa entrevista à   A declaração, que vai contra as pesquisas historiográficas produzidas sobre o tema nas últimas décadas, simplesmente ignora a responsabilidade de portugueses no tráfico negreiro ocorrido entre os séculos XVI e XIX e omite que o modelo de escravidão comercial que promoveu a colonização das Américas foi criado pelos europeus.
A transformação da  por europeus num negócio gerou conflitos no território africano e expandiu a prática a números gigantescos. Estima-se que 12,5 milhões de africanos escravizados foram traficados por europeus a partir de 1501. O Brasil foi o destino do maior número, 5,5 milhões. Destes, mais de 667 mil teriam morrido durante a viagem. O país foi ainda o último do continente a abolir a escravidão, em 13 de maio de 1888.
“A História tem sido manipulada por setores desta ‘nova direita’ com o objetivo principal de legitimar os seus projetos políticos. O que orienta a narrativa sobre o passado que esses grupos e indivíduos produzem não é o rigor acadêmico, nem os princípios da divulgação científica, da história pública ou do ensino de História, mas um projeto político”, afirma o historiador Bruno Leal, da Universidade de Brasília.
Esse revisionismo histórico, baseado unicamente na deturpação de fatos, teria como alvo tudo que é percebido como uma ameaça à ideologia destes grupos. “Esse processo de deslegitimação chega a questionar os próprios métodos científicos ou a ciência como um paradigma de explicação da sociedade. Temos atualmente a situação em alguns casos de discutir se a Terra é ou não redonda. A História é o elo mais atacado por essa extrema-direita”, diz a historiadora Ynaê Lopes dos Santos, da Fundação Getúlio Vargas.
Para a historiadora Maria Helena Rolim Capelato, que presidiu a Associação Nacional dos Professores Universitários de História, esse negacionismo releva posições autoritárias e preconceituosas.  Durante este processo de produção de uma versão distorcida da História, que é vendida ao público como sem tabus e voltada para recuperar heróis nacionais que supostamente teriam sido esquecidos, os revisionistas se apegam a uma visão historiográfica do século XIX e ignoram a própria complexidade histórica.
Com o desenvolvimento da disciplina, de acordo com historiadores, a História passou a olhar de forma crítica para personagens tradicionais, como a família real, e começou a estudar figuras que ficaram esquecidas por muito tempo. Neste ano, por exemplo, a escola de samba Mangueira levou para a Sapucaí algumas destas figuras, como Luísa Mahin, que articulou levantes e revoltas de escravos na região da Bahia no início do século XIX.
A visita de Bolsonaro ao Museu do Holocausto não valeu de nada (Foto: Alan Santos/PR)“A disciplina deixou de olhar somente para as grandes figuras e passou a ter uma visão da sociedade como um todo. Já não é mais uma história laudatória e acrítica”, argumenta o historiador Paulo Pachá, da Universidade Federal Fluminense.
E, segundo Leal, que fundou o site Café História, são justamente essas novas perspectivas da análise do passado que incomodaram setores mais conservadores da sociedade, por produzirem efeitos no presente, como na Comissão Nacional da Verdade e nas políticas de ação afirmativa e de direitos das mulheres.
“Para esses setores, mais vale um falso passado conciliador que a dor latente de um passado cheio de falhas que ainda deixa marcas em nosso presente. Esses grupos entenderam que a manutenção de seus privilégios historicamente construídos depende fundamentalmente do controle da narrativa sobre o passado”, destaca o historiador.  Teses deste revisionismo foram condensadas numa série de documentários produzidos por um canal simpático à extrema-direita e à linha de pensamento de Olavo de Carvalho no Youtube. Em seus vídeos, o grupo Brasil Paralelo alega querer apresentar uma História “livre de narrativas ideológicas”, porém, segundo historiadores ouvidos pela , faz justamente o contrário ao não mencionar as fontes de onde vieram as informações citadas pelo narrador.
O historiador Thiago Krause, da Unirio, destaca ainda que, entre os entrevistados, não há especialistas e pesquisadores reconhecidos na área. “Como parte deste processo de conquista de corações e mentes, é construída uma visão de mundo extremamente hermética e sem qualquer base acadêmica”, acrescenta Krause.
Além de apresentarem uma história baseada em narrativas do século XIX, historiadores destacam que há omissões e até mesmos erros na série, que por exemplo criou, no primeiro episódio, uma visão imaginada de uma Idade Média que seria branca, patriarcal e cristã.
“O processo histórico real é muito mais complexo do que o que aparece na narrativa do documentário e da nova direita em geral”, afirma Pachá, especialista em História Medieval, que analisou o interesse deste grupo por esse período no artigo 
Em outro episódio, a série glorifica a miscigenação, apresentada de forma simplista como uma virtude do Brasil. O narrador chega a afirmar que o sangue dos brasileiros seria “o tratado de paz da humanidade”. O mesmo vídeo trata a “cultura” como algo trazido para o país pelos portugueses.
“Ao fazer essa visão simplista para valorizar a cultura ocidental, minimizam a importância dos africanos e indígenas, além da exploração e violência. Neste sentido, essa narrativa pode ser perigosa, porque está subestimando a opressão característica da sociedade brasileira que se baseou no racismo e na desigualdade”, argumenta Krause, que é especialista em História colonial.
Santos acrescenta que a miscigenação foi fruto de uma relação de poder violenta e que precisa ser analisada historicamente de forma crítica, e não romantizada. “A miscigenação é a falácia da democracia racial no Brasil. Ficar apenas na parte lírica disso é negar essa história de violência e opressão. Os primeiros mestiços são frutos de estupros de mulheres indígenas e depois de africanas escravizadas”, ressalta a historiadora.
O revisionismo tem aparentemente chamado a atenção de cada vez mais brasileiros. O canal Brasil Paralelo possuiu atualmente mais de 810 mil inscritos (foi a essa página que, em entrevista, o chanceler Araújo disse que o nazismo era de esquerda). Alimentado por discursos sobre uma suposta “doutrinação ideológica”, esse ataque ao conhecimento tem se voltado contra professores.
“Tenho visto com muita preocupação grupos que se identificam como uma ‘nova direita’ definindo os professores e professoras em geral, mas com destaque para os de História, como um grande inimigo da sociedade. Para afirmar sua autoridade, esses grupos desautorizam e deslegitimam o trabalho do professor”, afirma Leal.
O historiador vê neste processo uma tentativa de interromper o desenvolvimento de uma geração crítica e questionadora. “Colocar os alunos e a sociedade contra o professor é uma maneira eficiente de parar esse processo emancipador”, acrescenta.
Além da desvalorização de profissionais da educação, esse revisionismo histórico impede o debate e inibe o conhecimento baseado em metodologias científicas. Krause afirma que essa deslegitimação do saber também serve para a consolidação da  no País.
",Política,https://www.cartacapital.com.br/politica/o-negacionismo-historico-como-arma-politica/,Deutsche Welle,03/04/2019 18:21:42,"Está em curso no Brasil um revisionismo da História, com base na negação e na manipulação de fatos. Ele vai além do “nazismo de esquerda”",O negacionismo histórico como arma política
"  As entidades alertam para uma “tentativa de modificar a narrativa do golpe de estado de 31 de março de 1964 no Brasil” encampada diretamente pelo gabinete presidencial por meio de “instruções diretas”. Também cita outras declarações de Bolsonaro em apoio ao regime e o , como o chanceler Ernesto Araújo.
A queixa, revelada em primeira mão por Jamil Chade, do e confirmada por foi feita em caráter confidencial.
Bolsonaro e ala mais linha-dura das Forças Armadas renegam o caráter golpista do movimento. Na semana passada, o presidente determinou que os quartéis promovessem, nas palavras do porta-voz do governo, as “comemorações” devidas ao aniversário de 55 anos da derrubada da democracia. Criticado, Bolsonaro baixou o tom e disse que a ideia não é comemorar, e sim rememorar.  O trata o evento como um ‘episódio simbólico’ da identificação das Forças Armadas com as “legítimas aspirações” do povo brasileiro. Outro trecho diz que “a Marinha, o Exército e a Aeronáutica reconhecem o papel desempenhado por aqueles que, ao se depararem com os desafios próprios da época, agiram conforme os anseios da Nação Brasileira”.
    O Instituto Vladimir Herzog também acionou a Justiça Federal e STF pedindo que o governo seja proibido de celebrar a data. A Defensoria Pública da União fez pedido semelhante, e requereu ainda que a União seja impedida de gastar dinheiro gasto público para esta finalidade, sob pena de multa.
",Mundo,https://www.cartacapital.com.br/mundo/oab-e-instituto-vladimir-herzog-denunciam-bolsonaro-a-onu/,Thais Reis Oliveira,29/03/2019 17:21:23,Entidades alertam para uma “tentativa de modificar a narrativa do golpe” encampada diretamente pelo gabinete presidencial ,OAB e Instituto Vladimir Herzog denunciam Bolsonaro à ONU
"  Os três têm muito em comum: são jovens, vindos da universidade e representam partidos nascidos no caldo político contemporâneo. O PSOL nasceu em 2004 como alternativa à esquerda aos vícios do  petista. Já o Podemos é fruto da insatisfação com as políticas de austeridade pós-2008 na Espanha.
A convite de  o trio bateu um papo sobre extrema-direita, futuro do trabalho e o papel do movimento feminista na luta contra o autoritarismo.  
",Política,https://www.cartacapital.com.br/politica/extrema-direita-feminismo-trabalho-o-que-pensa-a-nova-esquerda/,Redação,19/02/2019 21:17:45,"‘CartaCapital’ conversou com o espanhol Miguel Urbán (Podemos), Isa Penna e Juliano Medeiros sobre os problemas mais urgentes do nosso tempo","Extrema-direita, feminismo, trabalho: o que pensa a nova esquerda?"
"“Cumpre informar que as Consultorias Jurídicas do Ministério da Defesa e as Consultorias Jurídicas-Adjuntas das Forças Armadas estão elaborando pareceres sobre o tema, os quais estarão prontos no prazo assinalado pelo MPF para resposta”, disse o comando em nota. “Deste modo, ficam mantidas as solenidades previamente agendadas relativas ao referido evento, até a manifestação dos referidos órgãos.”
    O golpe militar de 1964 aconteceu no dia 31 de março e neste ano completa 55 anos. Desde 2012 a data estava proibida de ser comemorada, mas com Jair Bolsonaro no poder a celebração voltou ao calendário oficial das Forças Armadas.  O presidente, inclusive, determinou que a data seja comemorada como a ‘Revolução que salvou o país do comunismo’. A posição de Bolsonaro gerou repercussão no mundo jurídico.
Na terça-feira 26, o Ministério Público Federal reagiu e contestou a recomendação infeliz do presidente. , o MPF diz: “É incompatível com o Estado Democrático de Direito festejar um golpe de Estado e um regime que adotou políticas de violações sistemáticas aos direitos humanos e cometeu crimes internacionais”.
Logo em seguida a  pediu que a Justiça Federal em Brasília proíba o governo federal e as Forças Armadas de realizarem comemorações no próximo dia 31 de março da data que marcou o início da ditadura militar no Brasil, em 1964, e de gastarem recursos públicos para este fim, sob pena de multa.  O pedido veio na forma de uma ação civil pública, protocolada na terça-feira 26, pedindo urgência na análise do tema.
Pujol não aceitou as proibições e disse que vai aguardar posicionamento jurídico do Ministério da Defesa. “Diante disso, as autoridades militares para as quais as recomendações foram dirigidas devem aguardar a conclusão dos supracitados pareceres jurídicos, que servirão de subsídios para as respostas a serem enviadas ao MPF.”

 
",Política,https://www.cartacapital.com.br/politica/exercito-envia-oficio-aos-quarteis-e-mantem-comemoracao-ao-golpe-de-64/,Alexandre Putti,28/03/2019 16:30:52,"Desde 2012 a data estava proibida de ser comemorada, mas com Bolsonaro no poder a celebração voltou ao calendário oficial das Forças Armadas",Exército envia ofício aos quartéis e mantém comemoração do golpe de 64
